Origin,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Mongolia,498,,0,,5,137,39,8,0,4,12,,,4,,42,17,,0,4,,0,11,6,,4,,7,0,4,11,0,6,0,25,5,0,9,,4,5,,0,0,,,8,0,0,9,0,74,11,,11,0
Montserrat,90,0,0,0,0,3,0,,0,0,13,,,0,0,0,0,0,0,0,0,0,,11,0,,0,0,0,0,0,0,5,0,41,0,0,0,0,0,,,0,,0,,0,0,6,0,0,,0,0,0,0
Morocco,4949,15,,33,,319,90,109,10,29,655,93,,,5,209,27,15,9,31,5,,110,534,48,48,13,15,4,,42,22,297,5,688,142,3,126,44,14,233,,28,38,6,26,205,,3,6,,491,55,5,33,
Mozambique,78,0,0,0,0,10,,0,0,,7,3,,0,0,,,,0,0,,0,5,4,,0,0,0,0,,0,0,5,0,10,,0,,,0,,,,0,0,,10,0,0,,0,,0,0,0,0
Namibia,56,0,0,,0,6,,,0,,8,,,0,0,,,0,0,0,0,0,3,3,,,0,,0,0,0,,,0,7,,0,0,0,0,0,,0,,0,,8,0,0,,0,0,0,0,0,0
Nepal,3733,24,10,26,,431,209,104,0,24,76,55,,,3,83,26,17,22,17,,,290,158,64,67,5,8,,41,19,53,58,22,544,59,8,29,15,36,43,,9,13,6,11,452,,,8,3,453,71,4,42,3
Netherlands,1651,10,,41,4,245,27,35,,9,197,55,,7,3,55,16,15,4,8,3,7,48,57,39,32,0,14,,6,20,11,61,10,160,30,,49,5,22,45,,4,9,9,19,117,0,11,10,6,44,44,5,16,
Netherlands Antilles,100,,0,0,0,0,0,5,0,0,33,4,,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,,,5,0,18,,0,,0,0,,,,,0,0,4,0,6,0,,5,,0,0,0
New Caledonia,7,0,0,0,0,,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
New Zealand,1100,5,9,23,7,248,57,29,0,5,63,25,,25,7,29,10,4,6,7,4,,14,28,18,12,3,17,5,3,28,7,26,3,85,22,0,21,3,19,15,,3,7,,15,57,0,,20,0,25,57,5,13,
Nicaragua,4145,7,,25,7,994,18,21,8,20,1641,56,,0,,35,12,10,3,,20,3,117,36,19,22,7,10,0,5,52,4,115,12,183,65,0,9,,13,46,,7,18,,26,240,0,18,7,3,167,31,3,19,3
Niger,116,0,0,0,,3,0,4,,,4,3,,0,0,0,16,0,0,,0,0,10,,6,,0,0,0,0,,0,,0,14,17,0,6,0,0,17,,0,0,0,0,3,0,0,0,0,0,,0,0,0
Nigeria,13459,99,7,117,31,1040,83,135,59,143,418,1056,,6,,705,199,33,54,37,56,6,1605,395,252,294,26,139,0,39,63,14,901,9,1622,310,10,243,108,30,318,,98,46,0,168,2098,0,,11,5,227,81,7,53,0
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,481,3,,9,,82,9,5,0,,56,9,,,0,20,,,4,,4,,18,10,4,7,,,,,0,4,6,,38,9,7,9,0,10,12,,4,4,,0,69,0,,8,0,14,17,4,,0
