,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Botswana,4,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,5745,18,0,70,,783,36,85,5,20,1262,118,,43,6,110,19,,13,18,10,0,92,864,60,22,10,22,,7,47,67,546,7,473,51,0,44,9,36,61,,23,25,,18,309,0,6,68,,99,58,3,36,,56
British Virgin Islands,40,0,0,,0,,0,0,0,0,4,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,4,0,0,,,0,0,,0,0,0,0,,0,16,0,0,,,0,0,0,1
Brunei,20,0,0,,0,6,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,0,,0,0,,0,0,0,0,,,0,0,0,0
Bulgaria,2621,4,,45,,343,53,19,8,8,186,156,,10,0,588,28,6,12,23,12,9,33,81,74,20,3,57,0,5,82,5,91,5,218,31,,40,11,21,32,,,9,0,10,73,0,,7,,62,76,,42,,13
Burkina Faso,37,,0,0,0,,,0,0,,0,,,,0,0,0,0,0,,0,0,5,0,0,0,0,0,0,0,0,0,,0,6,,0,4,0,0,5,,0,0,0,0,,0,0,0,0,3,0,,,0,0
Burma,1058,0,0,5,0,458,17,3,,,33,11,,8,,23,56,0,7,,,0,28,17,9,32,0,4,0,6,4,0,19,0,144,13,,17,3,10,11,,0,,0,,29,0,0,,0,24,24,,13,0,16
Burundi,95,4,0,7,,3,4,,0,,4,11,,0,0,3,0,,0,,0,,5,4,,,0,,0,,0,0,3,0,,,,,0,,0,,0,0,,6,13,0,0,0,,,,0,0,0,0
Cambodia,4197,8,3,27,,1535,46,31,,,65,108,,10,,55,7,16,15,25,8,38,21,594,23,206,,12,0,9,23,12,13,0,76,55,,102,6,57,213,,87,16,4,24,213,0,,21,0,75,283,,20,0,26
Cameroon,611,,0,3,,38,6,,10,13,8,64,,,0,26,,,,6,,0,117,36,11,54,0,,0,6,,0,19,0,22,8,,19,9,0,7,,0,3,0,5,55,0,,0,0,26,3,,6,0,12
Canada,8473,33,28,315,19,1457,186,103,10,16,892,193,,80,36,261,81,37,42,44,34,81,102,280,370,130,13,82,37,31,120,144,207,34,455,170,45,223,31,151,165,,20,63,15,59,598,0,6,101,56,147,483,10,104,10,63
Cape Verde,1223,0,0,0,0,,0,11,0,,13,4,,,0,0,0,0,0,,0,0,,967,,0,0,0,0,0,0,0,10,0,19,,0,0,0,,0,,170,0,0,0,,0,,0,0,5,0,0,0,0,10
Cayman Islands,9,0,0,0,0,0,0,0,0,0,5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,17,0,0,0,0,,,0,0,,0,0,,0,0,,,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
Chad,22,0,0,0,0,0,0,0,0,0,,0,,,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,,0,,0,0,,0,0,3,,0,0,0,0,,0,0,,0,3,0,0,,0,2
Chile,1346,,0,17,,253,16,18,,5,268,13,,,4,28,7,,5,6,5,,29,61,14,11,,5,,3,27,4,95,10,148,22,,16,,19,15,,0,3,,11,59,0,10,23,0,46,25,,8,0,19
China,33134,70,7,236,25,11609,271,217,58,51,426,380,,370,37,1499,194,65,90,69,85,38,765,1540,565,290,20,202,11,39,226,65,1486,34,6538,233,6,496,43,425,769,,49,53,13,103,1404,0,64,84,25,552,703,21,129,10,374
